Brand,Series,,,Wattages,Tier,Year,,Size,ATX Ver.,Input Range,Modularity,Efficiency,Topology,,,ODM,Platform Code,Notes
,MT (Mighty),,,500/600/700W,E,2021,,ATX,ATX 2.x,230V,No,W,DF,PR,GR,Andyson,Z8,
,Tenergy (TN),,Gold,650/750/850W,B,2020,,ATX,ATX 2.x,Full,Full,G,LLC,SR,DC-DC,Andyson,K8,
,,,Bronze,500/600/700W,C,2020,,ATX,ATX 2.x,Full,No,B,DF,SSR,DC-DC,Andyson,Q8,Qualified for 80+ Silver in testing
,Settler,II,,600/700/800W,C,2023,,ATX,ATX 2.x,230V,No,B,DF,SSR,DC-DC,HKC,ATX-41,Cybenetics Silver
,,Hybrid Bronze,-,700/800W,C,2023,,ATX,ATX 3.x,230V,No,B,DF,SR,DC-DC,Changhu,SP-302,ODM is Dongguan Changhu Electronics Co. Ltd.
,,,Modular,1000W,C,2024,,ATX,ATX 3.x,230V,Semi,B,DF,SR,DC-DC,Changhu,Unknown,ODM is Dongguan Changhu Electronics Co. Ltd.
,Ultimate GX ATX 3.0,,,850W,A*,2024,,ATX,ATX 3.x,Full,Full,G,LLC,SR,DC-DC,Zhong Yuan,GX-850,"Needs additional protections testing, but the platform showed extremely good performance in Cybenetics testing."
,,,,,,,,,,,,,,,,,,
Acer,AC,,Bronze,550-750W,C-*,2024,,ATX,ATX 2.x,230V,Full,B,DF,SSR,DC-DC,Soeyi,,"750W has 12VHPWR, unknown quality fan (likely sleeve bearing), 85C bulk cap, no claimed OTP. No performance testing, only teardowns."
,,,Gold,1000W,E,2024,,ATX,ATX 2.x,230V,Full,G,DF,SSR,DC-DC,Soeyi,WT-CM6800U-DTD,"12VHPWR cable, unknown quality fan (likely sleeve bearing), no claimed OTP. Only teardowns proving platform."
,Predator,,GX,850W,B-*,2024,,SFX,ATX 3.x,Full,Full,G,ACRF,SR,DC-DC,FSP*,Dagger Pro ATX 3.0*,"EU only, guess is based on top shots and identical clearresult entries. 2 year mandatory EU warranty."
,,,,,,,,,,,,,,,,,,
ADATA XPG,Core Reactor,,II,650/750/850W,A+,2023,,ATX,ATX 3.x,Full,Full,G,LLC,SR,DC-DC,CWT,CSE-S,ATX 3.0 refresh
,,,,1000/1200W,A+,2023,,ATX,ATX 3.x,Full,Full,G,LLC,SR,DC-DC,CWT,CSZ,
,,,II VE,650/750/850W,A,2024,,ATX,ATX 3.x,Full,Full,G,LLC,SR,DC-DC,CWT,CSE-S,Costdown Core Reactor II
,,,-,650/750/850W,A+,2019,,ATX,ATX 2.x,Full,Full,G,LLC,SR,DC-DC,CWT,CSE-S,
,Core Shift,,II,750W,B,2020,,ATX,ATX 3.x,Full,Full,G,LLC,SR,DC-DC,CWT,GPX 3.0,"Mid quality fan; Same Martech ""FDB"" fan on the MSI A-GL series."
,,,,850W,C+,2020,,ATX,ATX 3.x,230V,Full,G,LLC,SR,DC-DC,CWT,GPX 3.0,"Read note regarding input range. Mid quality fan; Same Martech ""FDB"" fan on the MSI A-GL series."
,,,-,650W,B,2020,,ATX,ATX 2.x,Full,Full,G,LLC,SR,DC-DC,CWT,GPX,"Despite markings on the DC-DC daughterboard indicating CWT GPU, internal shots confirm CWT GPX."
,,,,750W,B-,2020,,ATX,ATX 2.x,Full,Full,G,LLC,SR,DC-DC,CWT,GPX,"Despite markings on the DC-DC daughterboard indicating CWT GPU, internal shots confirm CWT GPX."
,,,,850W,C+,2020,,ATX,ATX 2.x,230V,Full,G,LLC,SR,DC-DC,CWT,GPX,"Read note regarding input range. Despite markings on the DC-DC daughterboard indicating CWT GPU, internal shots confirm CWT GPX."
,Cybercore,,II,1000/1300W,A+,2023,,ATX,ATX 3.x,Full,Full,P,LLC,SR,DC-DC,CWT,Upgraded CTT,Semi-digital
,,,-,1000/1300W,A+,2022,,ATX,ATX 2.x,Full,Full,P,LLC,SR,DC-DC,CWT,Upgraded CTT,Semi-digital
,Fusion,,,1600W,A+,2023,,ATX,ATX 3.x,Full,Full,T,LLC,SR,DC-DC,Delta,Custom (GPS-1600AP),Totem pole PFC
,Kyber,,,650W,B-,2023,,ATX,ATX 2.x,Full,No,G,LLC,SR,DC-DC,CWT,GPW,
,,,,750/850W,B-,2023,,ATX,ATX 3.x,Full,No,G,LLC,SR,DC-DC,CWT,GPW,
,Probe,,,600/700W,E,2023,,ATX,ATX 2.x,Full,No,B,DF,PR,GR,CWT,GPM,
,Pylon,,,450/550/650W,C+,2020,,ATX,ATX 2.x,Full,No,B,DF,PR,DC-DC,CWT,CSB-A,650W is technically rated Cybenetics Silver
,,,,750W,C+,2020,,ATX,ATX 2.x,Full,No,B,DF,SSR,DC-DC,CWT,CSB-A,750W is technically rated Cybenetics Silver
,,,,,,,,,,,,,,,,,,
Aerocool,AE,,,550/650/750W,E,2023,,ATX,ATX 2.x,230V,No,W,DF,PR,GR,SANR,,Overall very low build quality
,Aero,Bronze,Non-Modular,500-750W,C-,2020,,ATX,ATX 2.x,230V,No,B,DF,SSR,DC-DC,SANR,,
,,,Modular,550-850W,C-,2021,,ATX,ATX 2.x,230V,Full,B,DF,SSR,DC-DC,SANR,,
,,White,,500-700W,E,2020,,ATX,ATX 2.x,230V,No,W,DF,PR,GR,SANR,,
,Cylon,,,500/600/700W,F,2022,,ATX,ATX 2.x,230V,No,W,DF,PR,GR,SANR,,"""Full Range"" version is equally as bad according to the claimed specs."
,Higgs,,,650/750/850W,F,2016,,ATX,ATX 2.x,230V,Semi,N,DF,PR,GR,SANR,,"Claims APFC, ""90+"" badge, extremely low 12V output relative to total, as is per usual for terrible PSUs"
,Integrator Gold,,,750-1000W,B-,2023,,ATX,ATX 2.x,Full,Full,G,LLC,SR,DC-DC,SANR,S-MZ,
,KCAS,Bronze,Non-Mod.,400-700W,E,2016,,ATX,ATX 2.x,230V,No,B,DF,PR,GR,Andyson,Z8,
,,,Modular,650/750W,E,2016,,ATX,ATX 2.x,230V,Semi,B,DF,PR,GR,HEC,STX,Double-sourced between HEC and Andyson
,,,,,E,2016,,ATX,ATX 2.x,230V,Semi,B,DF,PR,GR,Andyson,Z8,
,,,,850/1000W,E,2016,,ATX,ATX 2.x,230V,Semi,B,DF,PR,DC-DC,HEC,EVGA BQ 850W,
,,,,1200W,C,2016,,ATX,ATX 2.x,230V,Semi,B,DF,SSR,DC-DC,Andyson,C8,
,,Plus Bronze,Non-Mod.,400-800W,C,2015,,ATX,ATX 2.x,230V,No,B,DF,SSR,DC-DC,Andyson,A8 costdown,
,,,Modular,650/750W,C,2015,,ATX,ATX 2.x,230V,Semi,B,DF,SSR,DC-DC,Andyson,A8 costdown,
,,Gold,Non-Mod.,550-850W,C,2015,,ATX,ATX 2.x,Full,No,G,DF,SSR,DC-DC,Andyson,Q8,
,,,Modular,650/750/850W,C,2015,,ATX,ATX 2.x,Full,Semi,G,DF,SSR,DC-DC,Andyson,Q8,
,,Plus Gold,,550-850W,C*,2015,,ATX,ATX 2.x,Full,No,G,DF,SSR,DC-DC,Andyson,Q8?,"Similar to the regular KCAS Gold internally, basically inconclusive"
,,,,1000/1200W,C*,2015,,ATX,ATX 2.x,Full,Semi,G,DF,SSR,DC-DC,Andyson,Similar to old K8,"Looks similar to the Strike-X 1100W based on rear shots, basically inconclusive though"
,LUX,Standard,,550-1000W,E,2020,,ATX,ATX 2.x,230V,No,B,DF,PR,GR,SANR,S-AZ,"1000W model might be DC-DC, unable to confirm without a proper teardown"
,,RGB,,550-1000W,E,2020,,ATX,ATX 2.x,230V,No,B,DF,PR,GR,SANR,S-AZ,
,,M,,550-1000W,E,2021,,ATX,ATX 2.x,230V,Semi,B,DF,PR,GR,SANR,S-AZ,
,,RGB Mod.,,550-1000W,E,2021,,ATX,ATX 2.x,230V,Semi,B,DF,PR,GR,SANR,S-AZ,
,,"Pro
Pro RGB Modular",,550-750W,E,2023,,ATX,ATX 2.x,230V,No,B,DF,PR,GR,SANR,,Pro and Pro RGB Modular are the same internally.
,,,,850W,C*,2023,,ATX,ATX 3.x,Full,Semi,B,DF,SR,DC-DC,SANR,,
,,,,1000W,C*,2023,,ATX,ATX 3.x,Full,Semi,G,DF,SR,DC-DC,SANR,,
,Mirage Gold,,Non-Mod.,650/750/850W,C,2022,,ATX,ATX 2.x,Full,No,G,DF,SR,DC-DC,SANR,S-D high-wattage,No OTP claimed
,,,Modular,650/750/850W,C,2022,,ATX,ATX 2.x,Full,Full,G,DF,SR,DC-DC,SANR,S-D high-wattage,
,Project 7 (P7),,,650-850W,A-,2017,,ATX,ATX 2.x,Full,Full,P,LLC,SR,DC-DC,Andyson,Upgraded H8,
,United Power,,,500/600W,E,2021,,ATX,ATX 2.x,230V,No,W,DF,PR,GR,SANR,,
,VP,,,450-750W,E,2022,,ATX,ATX 2.x,230V,No,B,DF,PR,GR,SANR,,
,VX Plus,,-,350-800W,F,2023,,ATX,ATX 2.x,230V,No,N,DF,PR,GR,SANR,,"PPFC on 650W models and below. ""Specifications are subject to change at any time without notice."""
,,,RGB,350-800W,F,2023,,ATX,ATX 2.x,230V,No,N,DF,PR,GR,SANR,,"PPFC on 650W models and below. ""Specifications are subject to change at any time without notice."""
,,,,,,,,,,,,,,,,,,
Andyson,BX,,,550-850W,C,2019,,ATX,ATX 2.x,Full,No,B,DF,SSR,DC-DC,Andyson,Q8,Updated M5+
,E5+,,,300-500W,F,2017,,ATX,ATX 2.x,230V,No,N,DF,PR,GR,Andyson,E5+,PPFC
,GX,,,500/600/800W,C+,2018,,ATX,ATX 2.x,Full,Semi,G,LLC,SR,DC-DC,Andyson,F8,Updated H6
,H6,,,500-800W,C+,2017,,ATX,ATX 2.x,Full,Semi,G,LLC,SR,DC-DC,Andyson,F8,
,M5+,,,450W,E,2017,,ATX,ATX 2.x,Full,No,B,DF,PR,GR,Andyson,M5,
,,,,550/650W,C,2017,,ATX,ATX 2.x,Full,No,B,DF,SSR,DC-DC,Andyson,Q8,No transient response testing found.
,N,,,500/700W,B,2015,,ATX,ATX 2.x,Full,Semi,T,LLC,SR,DC-DC,Andyson,N8,
,PX,,,1200W,B,2017,,ATX,ATX 2.x,Full,Full,P,LLC,SR,DC-DC,Andyson,Modified R8,Updated R series
,R,,,850W,B,2015,,ATX,ATX 2.x,Full,Full,P,LLC,SR,DC-DC,Andyson,H8,
,,,,1200W,B,2015,,ATX,ATX 2.x,Full,Full,P,LLC,SR,DC-DC,Andyson,R8,
,TX,,,700W,B,2019,,ATX,ATX 2.x,Full,Semi,T,LLC,SR,DC-DC,Andyson,N8,Updated N series
,Venus,,,600W,E,2017,,ATX,ATX 2.x,230V,No,N,DF,PR,GR,Andyson,M5 costdown,
,,,,,,,,,,,,,,,,,,
Antec/Atom,Atom,Bronze (B),,550/650W,E,2020,,ATX,ATX 2.x,230V,No,B,DF,PR,GR,Andyson,M5,
,,Gold (G),Fully Modular,550/650/750W,C+*,2020,,ATX,ATX 2.x,Full,Full,G,LLC,SR,DC-DC,Andyson?,,"No OTP claimed, 135mm fan"
,,,Semi-Modular,650/750/850W,C+*,2020,,ATX,ATX 2.X,230V,Semi,G,LLC,SR,DC-DC,Andyson?,,120mm fan.
,,V Series (Teal & Light Blue Label),,350-750W,F,2019,,ATX,ATX 2.x,230V,No,N,DF,PR,GR,Andyson,E5+,"No 80 Plus or Cybenetics rating, OCP is not claimed on any rail, poor 12V output relative to total capacity, poor quality fan, etc. Basically e-waste."
,Cuprum Strike (CSK),,Bronze,450/550/650W,E,2020,,ATX,ATX 2.x,Full,No,B,DF,PR,GR,Hui Cheng,~Zalman Megamax V2,Also known as CSK[w]H. Not printed on the logos.
,,,"""DC""",550/650/750W,C-,2025,,ATX,ATX 2.x,Full,No,B,DF,SR,DC-DC,XWY,A11 (HKC ATX-41B clone),DC-DC variant of the CSK Bronze; only 750W has 300W 12VHPWR.
,,,H Bronze,750W,E,2020,,ATX,ATX 2.x,Full,Semi,B,DF,PR,GR,Hui Cheng,~Zalman Megamax V2,
,,,Pro ATX 3.1,850/1000W,C,2024,,ATX,ATX 3.x,230V,Semi,B,DF,SSR,DC-DC,Andyson,P37,Sleeve bearing fan. 12V-2x6 is fixed.
,"Earthwatts Gold
(EAG)",,Asia,550/650/750W,E,2019,,ATX,ATX 2.x,Full,Semi,G,ACRF,SR,GR,FSP,Aurum 92+,"Most likely for the Asian market; sightings in China and India. Ketchup and mustard cables, different fan grille, label, and box."
,,,EVO,550/650W,C,2018,,ATX,ATX 2.x,Full,Full,G,LLC,SR,DC-DC,HKC,ATX-06,Appears to be targeted primarily at the Eastern market.
,,,Pro,550/650/750W,A-,2018,,ATX,ATX 2.x,Full,Semi,G,LLC,SR,DC-DC,Seasonic,Focus Gold,Cost-down SSR-FM platform. White 750W is available.
,GSK ATX 3.1,,,750/850W,B+,2024,,ATX,ATX 3.x,Full,Full,G,LLC,SR,DC-DC,XWY,A04 (HKC ATX-23B clone),"Questionable fan choice, claimed as FDB, model was noted as rifle in a review of another PSU."
,"Neo Eco
(NE)","Classic
(NE-C)",v1,550/650W,E,2017,,ATX,ATX 2.x,Full,No,B,DF,PR,GR,CWT,GPK,
,,,v2,550/650W,E,2020,,ATX,ATX 2.x,Full,No,B,DF,PR,GR,Andyson,X8,"X8 might be a clone of CWT's GPK platform, but is similar to the M5 platform (not very good.)"
,,"Classic Mod.
(NE-M)",v1,550/650W,E,2017,,ATX,ATX 2.x,Full,Semi,B,DF,PR,GR,CWT,GPK,
,,,v2,550/650W,E,2020,,ATX,ATX 2.x,Full,Semi,B,DF,PR,GR,Andyson,X8,"X8 might be a clone of CWT's GPK platform, but is similar to the M5 platform (not very good.)"
,,"Gold
(NE-G)",Modular,650/750/850W,B,2021,,ATX,ATX 2.x,Full,Full,G,LLC,SR,DC-DC,Helly,ATX-0500GQ,
,,,Modular ATX 3.0,850/1000/1300W,A,2023,,ATX,ATX 3.x,Full,Full,G,LLC,SR,DC-DC,Helly,EPS-0100,
,,,Green Label,850W,B*,2021,,ATX,ATX 2.x,Full,Full,G,LLC,SR,DC-DC,Helly,ATX-0100GB,Possibly exclusive to the Phillipine market; green label
,,Gold Zen,,500/600/700W,C,2019,,ATX,ATX 2.x,Full,No,G,LLC,SR,DC-DC,Andyson,PAD07,Sleeve-bearing fan.
,,Platinum,,650/750/850W,B*,2020,,ATX,ATX 2.x,Full,Full,P,LLC,SR,DC-DC,HKC,ATX-23,
,High Current Gamer (HCG),,Bronze,850W,C*,2018,,ATX,ATX 2.x,Full,Full,B,DF,SSR,DC-DC,Andyson,D8/Q8,
,,,Gold,650/750/850W,A-,2018,,ATX,ATX 2.x,Full,Full,G,LLC,SR,DC-DC,Seasonic,Focus Gold,2 850W samples died in testing during OPP/OCP evaluation.
,,,Pro Platinum,850/1000/1200W,A,2024,,ATX,ATX 3.x,Full,Full,P,LLC,SR,DC-DC,Seasonic,Vertex PX,
,,,Extreme,850/1000W,A,2018,,ATX,ATX 2.x,Full,Full,G,LLC,SR,DC-DC,Seasonic,Focus Gold,
,SF-X,,,850W,B-*,2024,,SFX,ATX 3.x,Full,Full,G,ACRF,SR,DC-DC,FSP,Dagger Pro ATX 3.0,7 year warranty compared to FSP's 10 year warranty for their Dagger Pro ATX 3.0.
,Signature,,Platinum,1000/1300W,A-,2020,,ATX,ATX 2.x,Full,Full,P,LLC,SR,DC-DC,Seasonic,Prime Platinum,
,,,Titanium,1000W,A-,2020,,ATX,ATX 2.x,Full,Full,T,LLC,SR,DC-DC,Seasonic,Prime Titanium,
,VP Plus,,-,500-700W,E,2018,,ATX,ATX 2.x,Full,No,W,DF,PR,GR,Andyson,M5+,
,,,230V,500-700W,E,2018,,ATX,ATX 2.x,230V,No,W,DF,PR,GR,Andyson,M5+,
,VPF,,,550/650W,C-,2015,,ATX,ATX 2.x,Full,No,B,DF,PR,DC-DC,Delta,,"No inrush protection. Sold in the US as Earthwatts Green. 650W utilizes 105C secondary caps, 550W 85C."
,,,,,,,,,,,,,,,,,,
Apevia,Prestige,,Standard,600-1000W,C,2019,,ATX,ATX 2.x,Full,No,G,DF,PR,DC-DC,Guang Hai,GH356,Be wary that more variants of the Prestige are made! Same platform as Xigmatek Hydra M.
,,,,600/700/800W,C*,2019,,ATX,ATX 2.x,Full,No,G,DF,PR,DC-DC,Andyson?,Q8 variant?,"Not conclusive on platform, but rear shots confirm at least dual-sourcing, the extent of which is unknown. Most likely limited to North America."
,,,ATX 3.0,850/1000W,C+*,2023,,ATX,ATX 3.x,Full,No,G,DF,SSR,DC-DC,Guang Hai?,,"No OTP claimed, no performance or protections data"
,Galaxy,,Standard,650/850/1000W,C*,2020,,ATX,ATX 2.x,Full,Semi,G,DF,SSR,DC-DC,Guang Hai?,,Not enough info
,,,,650/850/1000W,C*,2025,,ATX,ATX 2.x,Full,Semi,G,DF,SSR,DC-DC,Andyson,A8,"Internal shots confirms the variant as being made by Andyson. Most likely, Andyson supplies units for the North American market."
,,,ATX 3.0,650/850/1000W,C+*,2023,,ATX,ATX 3.x,Full,Full,G,LLC,SR,DC-DC,Guang Hai?,,Not enough info
,,,,1200W,C+*,2023,,ATX,ATX 3.x,Full,Full,G,LLC,SR,DC-DC,Guang Hai?,,"No OTP claimed, no performance or protections data"
,Premier,,Standard,650/850/1000W,C*,2020,,ATX,ATX 2.x,Full,Semi,G,DF,SSR,DC-DC,Guang Hai?,,Not enough info
,,,ATX 3.0,650/850/1000W,C*,2023,,ATX,ATX 3.x,Full,Semi,G,DF,SSR,DC-DC,Guang Hai?,,Not enough info
,,,,1200W,C+*,2023,,ATX,ATX 3.x,Full,Full,G,LLC,SR,DC-DC,Guang Hai?,,"No OTP claimed, no performance or protections data"
,Mystic ATX 3.0,,,1000W,C+*,2023,,ATX,ATX 3.x,Full,Full,P,LLC,SR,DC-DC,Guang Hai?,,"No OTP claimed, no performance or protections data"
,,,,1200W,C+*,2023,,ATX,ATX 3.x,Full,Full,P,LLC,SR,DC-DC,Guang Hai?,,"No OTP claimed, no performance or protections data"
,Signature,,,900/1050W,E,2017,,ATX,ATX 2.x,Full,No,B,DF,PR,GR,Guang Hai?,,Group regulated; effective capacity is 10% lower than advertised based on +12V current rating
,Jupiter,,,600/800/1000W,E,2020,,ATX,ATX 2.x,Full,No,B,DF,PR,GR,Guang Hai?,,"Very low build quality, basically e-waste"
,Essence,,,600/700W,F,2020,,ATX,ATX 2.x,Full,No,N,DF,PR,GR,Guang Hai?,,PPFC; e-waste
,Spirit,,,600/700W,F,2020,,ATX,ATX 2.x,Full,No,N,DF,PR,GR,Guang Hai?,,PPFC; e-waste
,Beast,,,550/650/700W,F,2016,,ATX,ATX 2.x,Full,No,N,DF,PR,GR,Guang Hai?,,PPFC; e-waste
,Venus,,,500W,F,2016,,ATX,ATX 2.x,Full,No,N,DF,PR,GR,Guang Hai?,,PPFC; e-waste
,Captain,,,550W,F,2016,,ATX,ATX 2.x,Full,No,N,DF,PR,GR,Guang Hai?,,PPFC; e-waste
,Raptor,,,500W,F,2016,,ATX,ATX 2.x,Full,No,N,DF,PR,GR,Guang Hai?,,PPFC; e-waste
,ITX,,,300-500W,F,2023,,Other,ATX 2.x,Full,No,N,DF,PR,GR,Guang Hai?,,PPFC; e-waste
,TFX,,,300-500W,F,2020,,Other,ATX 2.x,Full,No,N,DF,PR,GR,Guang Hai?,,PPFC; e-waste
,SFX,,,300-600W,F,2020,,SFX,ATX 2.x,Full,No,N,DF,PR,GR,Guang Hai?,,PPFC; e-waste
,,,,,,,,,,,,,,,,,,
Apexgaming,All PSUs,,,,E,,,,,,,,,,,Solytech,,"Very low overall performance and poor quality control leading to extremely inconsistent results, even on their high-end models. Lower-end models are untested and should also be avoided unless professional reviews are released."
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
"Aresgame
(Pystar)",All PSUs,,,,E,,,,,,,,,,,Jiumeng,,Fraudulent business practices like fake 80+ certifications and review manipulation. Testing from multiple sources has shown performance to be significantly lower than average. Significant platform downgrades with the same model number and no difference in branding prevent review data from being useful for making recommendations. Tier E should be considered an upper bound for recommendations; certain models such as the AGV qualify for tier F.
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
ASRock,Challenger,"Bronze
(CL-B)",-,550/650W,C-*,2024,,ATX,ATX 2.x,Full,No,B,DF,PR,DC-DC,HEC,,No 12VHPWR/12V-2x6. Platform bears a striking resemblance to System Power 10 with some slight differences. May also be missing a MOV.
,,,PCIe 5.1,750W,C-*,2024,,ATX,ATX 2.x,Full,No,B,DF,PR,DC-DC,HEC,,"Does not claim ATX 3.x compliance, but 750W claims PCIE 5.1 ready w/ 450W 12V-2x6."
,,"Gold
(CL-G)",-,650W,C+*,2024,,ATX,ATX 2.x,Full,No,G,LLC,SR,DC-DC,HEC,,"Not much information, sleeve bearing fans are used."
,,,ATX 3.1,750/850W,C+*,2024,,ATX,ATX 3.x,Full,No,G,LLC,SR,DC-DC,HEC,,"750/850W have 600W 12V-2x6. Only 2 PCIE connectors. Not much information, sleeve bearing fans are used."
,Phantom Gaming (PG-G),,,750/850/1000W,A,2024,,ATX,ATX 3.x,Full,Full,G,LLC,SR,DC-DC,FSP,Hydro PTM Pro ATX 3.0,"12V-2x6 connector (GPU side) has thermistors to act as an ""OTP"" against melting. Stellar ripple suppression, especially on the minor rails."
,,,,1300/1600W,A,2024,,ATX,ATX 3.x,Full,Full,G,LLC,SR,DC-DC,FSP,Hydro PTM Pro ATX 3.0,"FSP-57AZB. 12V-2x6 connector (GPU side) has thermistors to act as an ""OTP""."
,Steel Legend (SL-G),,,650-1000W,B+,2024,,ATX,ATX 3.x,Full,Full,G,LLC,SR,DC-DC,HEC,Custom,"1000W model has poor transient response on 12V under 200% spike, other models mediocre. 850/1000W avail. in white."
,,,,1200W,A,2025,,ATX,ATX 3.x,Full,Full,G,LLC,SR,DC-DC,HEC,Custom,OCP is set way higher than necessary on the 12V and 5VSB rails. Good noise profile given its capacity.
,Taichi (TC-T),,,1300W/1650W,A+,2024,,ATX,ATX 3.x,Full,Full,T,LLC,SR,DC-DC,FSP,FSP-57ALB (Mega Ti),"Optional ""5V Boost"" button which increases +5V by 200mV; bridgeless PFC. 12V-2x6 connector has thermistors to act as an ""OTP""."
,,,,,,,,,,,,,,,,,,
ASUS,Prime,,Gold,750/850W,B+,2024,,ATX,ATX 3.x,Full,Full,G,LLC,SR,DC-DC,CWT,GPX ATX 3.0,
,ROG,Loki,Platinum,750-1200W,A,2022,,SFX-L,ATX 3.x,Full,Full,P,LLC,SR,DC-DC,Great Wall,Custom,Not to be confused with the Xigmatek Loki
,,,Titanium,1200W,A*,2023,,SFX-L,ATX 3.x,Full,Full,T,LLC,SR,DC-DC,Great Wall,Custom,No protections data.
,,THOR,Platinum,850W,A,2018,,ATX,ATX 2.x,Full,Full,P,LLC,SR,DC-DC,Seasonic,Focus Platinum,
,,,,1200W,A-,2018,,ATX,ATX 2.x,Full,Full,P,LLC,SR,DC-DC,Seasonic,Prime Platinum,
,,,Platinum II,850W,A,2023,,ATX,ATX 3.x,Full,Full,P,LLC,SR,DC-DC,Seasonic,Focus Platinum ATX 3.0,
,,,,1000/1200W,A,2023,,ATX,ATX 3.x,Full,Full,P,LLC,SR,DC-DC,Seasonic,Prime Ultra Platinum ATX 3.0,
,,,Platinum III,1000/1200W,A,2025,,ATX,ATX 3.x,Full,Full,P,LLC,SR,DC-DC,Seasonic,Custom,"Fan profile is extremely relaxed, OCP is set way too high on the minor rails, no FFP despite being an extremely expensive platform."
,,,Titanium,1600W,A*,2022,,ATX,ATX 3.x,Full,Full,T,LLC,SR,DC-DC,Wentai,Aidan T1616,"Totem pole PFC, digital operation aside from 5VSB. No protections data. ROG text on the corner of the fan grille. Dual 8 pin to 12+4."
